Date,"img_urls",image,text,"Text_Predict","Image_Predict",Predict,data
"2021-05-04",,,"but an lf test is no more accurate than flipping a coin literally that what the liverpool pilot study sleazily showed ! this a tory scam at tax payer expense! cronies profiting from supply of kits and hancock clearing embarrassment of stock bought at high price without validation",,,BUSINESS,"lf test accurate flipping coin literally liverpool pilot study sleazily showed tory scam tax payer expense crony profiting supply kit hancock clearing embarrassment stock bought high price without validation"
"2021-05-04",,,"following the successful pilot events at bramley moore &amp; sefton park at the weekend, liverpool's public health director @dph_mashton praised the organisers and those who attended #heartnews  https://t.co/twcy5eafcd",,,WELLNESS,"following successful pilot event bramley moore amp sefton park weekend liverpool public health director dph_mashton praised organiser attended heartnews"
"2021-05-04",,,"following the successful pilot events at bramley moore &amp; sefton park at the weekend, liverpool's public health director @dph_mashton praised the organisers and those who attended #capitalreports  https://t.co/49uxjjw6k6",,,WELLNESS,"following successful pilot event bramley moore amp sefton park weekend liverpool public health director dph_mashton praised organiser attended capitalreports"
"2021-05-04",,,"what does it mean to reopen conferences and large-scale meetings? that's what pilot programs like the good business festival at acc liverpool are aiming to find out.  #liveevents #postpandemic    https://t.co/z9nx3vxhse",,,BUSINESS,"mean reopen conference large scale meeting pilot program like good business festival acc liverpool aiming find liveevents postpandemic"
"2021-05-04",,,"hey guys, i’m doing a piece on the pilot gig events which went on in liverpool and whether they should be held in nottingham and if so in which nottingham location.  i’d like to know if you would attend or not and reasons why? rt’s much appreciated! #journorequest #nottingham",,,ENTERTAINMENT,"hey guy piece pilot gig event went liverpool whether held nottingham nottingham location like know would attend reason rt much appreciated journorequest nottingham"
"2021-05-04",,,"answer: liverpool- around 3,000 people danced, drank, and listened to music without masks or social distancing. the april 30th event was one of a series of pilots sponsored by the uk government to test whether covid-19 restrictions can be eased without sparking new outbreaks.",,,WELLNESS,"answer liverpool around   people danced drank listened music without mask social distancing april th event one series pilot sponsored uk government test whether covid  restriction eased without sparking new outbreak"
"2021-05-04",,,"if you attended the wonderful #eventsresearchprogramme sefton park @frfestivals pilot on sunday with @thisiszuzu @thelathums @blossomsband - please prepare to take your home test on friday; and for today, thank you #liverpool, home of science for society:  https://t.co/djqijjetln",,,PARENTING,"attended wonderful eventsresearchprogramme sefton park frfestivals pilot sunday thisiszuzu thelathums blossomsband please prepare take home test friday today thank liverpool home science society"
"2021-05-04",,,"@maximumattackdt yeah saw that as well as the 3000 person club night in liverpool but it seems they were both part of a pilot scheme of test events where people get tested before and after the events.   https://t.co/bkgrexkbfl",,,"QUEER VOICES","maximumattackdt yeah saw well  person club night liverpool seems part pilot scheme test event people get tested event"
"2021-05-03",,,"@thatryanchap @scienceshared fake sage are really clutching at straws and this is possibly the last straw ( clever mixed metaphors eh?)  as has been pointed out in this thread - these pilots in liverpool are controlled &amp; monitored, i’m proud that liverpool has been at the forefront of several covid pilots.",,,POLITICS,"thatryanchap scienceshared fake sage really clutching straw possibly last straw clever mixed metaphor eh pointed thread pilot liverpool controlled amp monitored proud liverpool forefront several covid pilot"
"2021-05-03",,,"this is an excellent thread! whatever you thoughts on the liverpool party pilot, the ethics are really interesting to think with ideas of new materialisms, personal, public, individual and dividual @bsanewmat",,,WELLNESS,"excellent thread whatever thought liverpool party pilot ethic really interesting think idea new materialism personal public individual dividual bsanewmat"
